id,title,description,tags,creator_id,created_at,popularity_score,likes_count,views_count,shares_count
123,Pet Meetup,Meet and share fun activities for your pets (Limited Slots),"pets,community",236,2025-03-26,9.8,69,276,33
124,Block Movie Night,Outdoor movie screening every Friday evening (Beginner Friendly),"movies,entertainment",250,2025-02-11,5.7,36,470,15
125,Book Club,Monthly book discussions on contemporary literature (Join Now),"books,community",242,2025-07-18,9.0,67,375,23
126,Book Club,Monthly book discussions on contemporary literature (Limited Slots),"books,community",223,2025-08-17,5.4,22,424,40
127,Gardening Workshop,Learn to plant seasonal vegetables & flowers (Beginner Friendly),"gardening,workshop",246,2025-03-20,4.7,84,362,49
128,Block Movie Night,Outdoor movie screening every Friday evening (Beginner Friendly),"movies,entertainment",217,2025-03-08,5.2,88,377,21
129,Gardening Workshop,Learn to plant seasonal vegetables & flowers (Join Now),"gardening,workshop",235,2025-04-23,1.3,34,67,4
130,Block Movie Night,Outdoor movie screening every Friday evening (Limited Slots),"movies,entertainment",228,2025-03-02,8.6,0,331,25
131,Gardening Workshop,Learn to plant seasonal vegetables & flowers (Beginner Friendly),"gardening,workshop",221,2025-06-19,7.4,64,474,9
132,Tech Talk,Presentations on emerging technologies (Join Now),"technology,education",210,2025-05-04,9.0,24,23,2
133,Food Festival,Block B food festival featuring local cuisine (Join Now),"food,event",223,2025-06-27,3.9,45,306,27
134,Cooking Workshop,Hands-on cooking workshops for healthy meals (Join Now),"food,education",234,2025-06-09,5.3,41,305,44
135,Cycling Group,Weekend cycling tours around the city (Join Now),"sports,outdoors",233,2025-07-29,5.7,68,172,38
136,Cycling Group,Weekend cycling tours around the city (Join Now),"sports,outdoors",212,2025-01-17,4.7,70,286,0
137,Book Club,Monthly book discussions on contemporary literature (Limited Slots),"books,community",218,2025-04-28,1.3,16,448,21
138,Pottery Class,Weekly pottery classes for beginners (Limited Slots),"art,crafts",209,2025-03-18,0.0,15,179,34
139,Pet Meetup,Meet and share fun activities for your pets (Weekly Session),"pets,community",210,2025-01-27,9.4,65,327,48
140,Block Movie Night,Outdoor movie screening every Friday evening (Join Now),"movies,entertainment",226,2025-07-25,9.2,45,450,50
141,Tech Talk,Presentations on emerging technologies (Limited Slots),"technology,education",210,2025-04-28,2.4,19,105,39
142,Cycling Group,Weekend cycling tours around the city (Join Now),"sports,outdoors",228,2025-05-28,6.1,83,449,10
143,Block Movie Night,Outdoor movie screening every Friday evening (Limited Slots),"movies,entertainment",206,2025-01-01,1.2,51,168,21
144,Gardening Workshop,Learn to plant seasonal vegetables & flowers (Beginner Friendly),"gardening,workshop",220,2025-06-15,1.3,75,64,26
145,Cooking Workshop,Hands-on cooking workshops for healthy meals (Join Now),"food,education",212,2025-06-03,4.4,0,449,30
146,Block Movie Night,Outdoor movie screening every Friday evening (Limited Slots),"movies,entertainment",215,2025-03-13,6.6,60,433,21
147,Block Movie Night,Outdoor movie screening every Friday evening (Join Now),"movies,entertainment",249,2025-07-26,3.8,65,98,41
148,Food Festival,Block B food festival featuring local cuisine (Join Now),"food,event",249,2025-06-07,5.7,76,97,22
149,Gardening Workshop,Learn to plant seasonal vegetables & flowers (Join Now),"gardening,workshop",225,2025-05-04,5.2,34,473,15
150,Pottery Class,Weekly pottery classes for beginners (Join Now),"art,crafts",220,2025-02-22,5.8,72,317,1
151,Tech Talk,Presentations on emerging technologies (Join Now),"technology,education",230,2025-04-28,10.0,45,337,25
152,Gardening Workshop,Learn to plant seasonal vegetables & flowers (Limited Slots),"gardening,workshop",247,2025-02-21,8.0,69,8,39
153,Tech Talk,Presentations on emerging technologies (Limited Slots),"technology,education",215,2025-05-07,7.4,78,247,0
154,Book Club,Monthly book discussions on contemporary literature (Join Now),"books,community",219,2025-03-15,6.5,52,366,49
155,Pottery Class,Weekly pottery classes for beginners (Beginner Friendly),"art,crafts",236,2025-03-25,2.8,4,316,3
156,Pottery Class,Weekly pottery classes for beginners (Weekly Session),"art,crafts",220,2025-01-20,2.5,37,448,31
157,Book Club,Monthly book discussions on contemporary literature (Weekly Session),"books,community",220,2025-01-23,5.4,31,420,43
158,Yoga Class,Morning yoga session for fitness and relaxation (Join Now),"fitness,wellness",234,2025-08-12,4.0,81,21,38
159,Book Club,Monthly book discussions on contemporary literature (Limited Slots),"books,community",244,2025-04-12,3.3,43,189,16
160,Book Club,Monthly book discussions on contemporary literature (Beginner Friendly),"books,community",239,2025-04-20,3.6,17,267,19
161,Cooking Workshop,Hands-on cooking workshops for healthy meals (Limited Slots),"food,education",242,2025-01-23,6.7,65,396,28
162,Block Movie Night,Outdoor movie screening every Friday evening (Join Now),"movies,entertainment",201,2025-04-30,6.0,14,349,48
163,Book Club,Monthly book discussions on contemporary literature (Limited Slots),"books,community",230,2025-08-14,3.7,26,340,48
164,Tech Talk,Presentations on emerging technologies (Weekly Session),"technology,education",233,2025-04-26,9.7,41,257,5
165,Gardening Workshop,Learn to plant seasonal vegetables & flowers (Weekly Session),"gardening,workshop",211,2025-05-07,7.8,88,151,38
166,Block Movie Night,Outdoor movie screening every Friday evening (Limited Slots),"movies,entertainment",206,2025-03-12,5.8,28,317,28
167,Cooking Workshop,Hands-on cooking workshops for healthy meals (Beginner Friendly),"food,education",250,2025-03-16,7.2,17,324,48
168,Gardening Workshop,Learn to plant seasonal vegetables & flowers (Limited Slots),"gardening,workshop",237,2025-04-25,7.8,39,486,32
169,Book Club,Monthly book discussions on contemporary literature (Limited Slots),"books,community",213,2025-03-31,5.7,13,129,40
170,Tech Talk,Presentations on emerging technologies (Join Now),"technology,education",230,2025-05-04,6.2,88,469,32
171,Pottery Class,Weekly pottery classes for beginners (Weekly Session),"art,crafts",247,2025-06-23,0.9,75,83,3
172,Pottery Class,Weekly pottery classes for beginners (Join Now),"art,crafts",206,2025-07-28,8.2,95,285,33
173,Block Movie Night,Outdoor movie screening every Friday evening (Weekly Session),"movies,entertainment",206,2025-03-16,5.6,41,393,49
174,Pet Meetup,Meet and share fun activities for your pets (Join Now),"pets,community",230,2025-06-26,5.9,80,126,2
175,Pet Meetup,Meet and share fun activities for your pets (Join Now),"pets,community",215,2025-06-04,0.1,27,295,32
176,Book Club,Monthly book discussions on contemporary literature (Weekly Session),"books,community",202,2025-08-07,9.3,84,338,23
177,Food Festival,Block B food festival featuring local cuisine (Limited Slots),"food,event",220,2025-03-07,9.8,86,454,20
178,Book Club,Monthly book discussions on contemporary literature (Weekly Session),"books,community",205,2025-04-13,6.5,99,444,30
179,Yoga Class,Morning yoga session for fitness and relaxation (Weekly Session),"fitness,wellness",219,2025-02-23,1.9,75,212,12
180,Block Movie Night,Outdoor movie screening every Friday evening (Beginner Friendly),"movies,entertainment",216,2025-06-12,7.4,71,362,15
181,Cycling Group,Weekend cycling tours around the city (Beginner Friendly),"sports,outdoors",233,2025-04-07,2.6,74,113,43
182,Block Movie Night,Outdoor movie screening every Friday evening (Weekly Session),"movies,entertainment",215,2025-06-07,1.6,9,36,40
183,Gardening Workshop,Learn to plant seasonal vegetables & flowers (Limited Slots),"gardening,workshop",231,2025-06-13,2.5,6,115,42
184,Tech Talk,Presentations on emerging technologies (Join Now),"technology,education",210,2025-07-23,8.5,41,259,30
185,Gardening Workshop,Learn to plant seasonal vegetables & flowers (Join Now),"gardening,workshop",223,2025-06-26,1.5,5,208,24
186,Cooking Workshop,Hands-on cooking workshops for healthy meals (Beginner Friendly),"food,education",228,2025-06-22,7.6,84,428,48
187,Pet Meetup,Meet and share fun activities for your pets (Limited Slots),"pets,community",222,2025-04-17,8.3,20,370,23
188,Food Festival,Block B food festival featuring local cuisine (Beginner Friendly),"food,event",235,2025-05-01,5.2,78,233,2
189,Pottery Class,Weekly pottery classes for beginners (Limited Slots),"art,crafts",210,2025-04-25,7.6,38,445,33
190,Cycling Group,Weekend cycling tours around the city (Weekly Session),"sports,outdoors",207,2025-01-12,0.7,28,494,40
191,Block Movie Night,Outdoor movie screening every Friday evening (Weekly Session),"movies,entertainment",238,2025-04-27,6.8,22,353,18
192,Cycling Group,Weekend cycling tours around the city (Join Now),"sports,outdoors",203,2025-02-01,1.8,65,239,18
193,Pet Meetup,Meet and share fun activities for your pets (Limited Slots),"pets,community",229,2025-01-05,7.3,91,255,38
194,Cycling Group,Weekend cycling tours around the city (Weekly Session),"sports,outdoors",230,2025-08-06,2.9,77,419,36
195,Pet Meetup,Meet and share fun activities for your pets (Limited Slots),"pets,community",241,2025-07-06,0.1,82,252,47
196,Block Movie Night,Outdoor movie screening every Friday evening (Limited Slots),"movies,entertainment",247,2025-07-05,3.7,40,300,19
197,Block Movie Night,Outdoor movie screening every Friday evening (Join Now),"movies,entertainment",204,2025-06-22,9.0,56,306,46
198,Cycling Group,Weekend cycling tours around the city (Beginner Friendly),"sports,outdoors",227,2025-06-01,1.2,25,361,48
199,Pottery Class,Weekly pottery classes for beginners (Join Now),"art,crafts",221,2025-05-11,1.0,29,390,27
200,Food Festival,Block B food festival featuring local cuisine (Weekly Session),"food,event",248,2025-07-31,0.8,90,497,32
201,Book Club,Monthly book discussions on contemporary literature (Beginner Friendly),"books,community",234,2025-05-08,9.5,67,374,29
202,Pottery Class,Weekly pottery classes for beginners (Join Now),"art,crafts",222,2025-01-22,9.4,81,384,19
203,Food Festival,Block B food festival featuring local cuisine (Join Now),"food,event",241,2025-04-14,2.1,56,201,21
204,Food Festival,Block B food festival featuring local cuisine (Limited Slots),"food,event",245,2025-08-07,5.8,12,260,3
205,Yoga Class,Morning yoga session for fitness and relaxation (Weekly Session),"fitness,wellness",248,2025-03-23,7.4,32,33,8
206,Cycling Group,Weekend cycling tours around the city (Beginner Friendly),"sports,outdoors",223,2025-07-22,9.9,96,408,19
207,Cycling Group,Weekend cycling tours around the city (Beginner Friendly),"sports,outdoors",234,2025-04-27,3.8,58,44,16
208,Book Club,Monthly book discussions on contemporary literature (Limited Slots),"books,community",246,2025-08-12,1.5,6,102,29
209,Yoga Class,Morning yoga session for fitness and relaxation (Join Now),"fitness,wellness",250,2025-08-05,8.6,74,337,38
210,Block Movie Night,Outdoor movie screening every Friday evening (Join Now),"movies,entertainment",233,2025-08-03,9.4,68,148,31
211,Book Club,Monthly book discussions on contemporary literature (Beginner Friendly),"books,community",217,2025-05-01,5.5,98,124,41
212,Pottery Class,Weekly pottery classes for beginners (Join Now),"art,crafts",224,2025-06-23,8.4,75,494,48
213,Yoga Class,Morning yoga session for fitness and relaxation (Limited Slots),"fitness,wellness",233,2025-02-18,3.4,3,481,16
214,Gardening Workshop,Learn to plant seasonal vegetables & flowers (Weekly Session),"gardening,workshop",226,2025-07-24,0.5,57,475,8
215,Block Movie Night,Outdoor movie screening every Friday evening (Weekly Session),"movies,entertainment",231,2025-05-29,1.2,60,139,36
216,Gardening Workshop,Learn to plant seasonal vegetables & flowers (Limited Slots),"gardening,workshop",212,2025-05-30,3.5,56,427,43
217,Gardening Workshop,Learn to plant seasonal vegetables & flowers (Limited Slots),"gardening,workshop",210,2025-02-03,3.6,36,446,44
218,Book Club,Monthly book discussions on contemporary literature (Limited Slots),"books,community",219,2025-03-05,8.4,93,22,40
219,Pet Meetup,Meet and share fun activities for your pets (Limited Slots),"pets,community",249,2025-02-15,7.1,72,25,31
220,Pottery Class,Weekly pottery classes for beginners (Limited Slots),"art,crafts",203,2025-05-24,3.4,69,400,37
221,Yoga Class,Morning yoga session for fitness and relaxation (Limited Slots),"fitness,wellness",208,2025-05-02,1.8,46,130,48
222,Pottery Class,Weekly pottery classes for beginners (Weekly Session),"art,crafts",210,2025-06-09,8.4,8,383,36
223,Food Festival,Block B food festival featuring local cuisine (Weekly Session),"food,event",218,2025-04-21,5.7,32,274,5
224,Cycling Group,Weekend cycling tours around the city (Join Now),"sports,outdoors",237,2025-03-07,7.5,26,241,39
225,Gardening Workshop,Learn to plant seasonal vegetables & flowers (Beginner Friendly),"gardening,workshop",214,2025-04-03,2.9,41,149,31
226,Block Movie Night,Outdoor movie screening every Friday evening (Join Now),"movies,entertainment",212,2025-04-12,7.0,50,482,24
227,Pottery Class,Weekly pottery classes for beginners (Beginner Friendly),"art,crafts",242,2025-01-01,2.7,36,157,3
228,Tech Talk,Presentations on emerging technologies (Weekly Session),"technology,education",222,2025-03-20,3.0,45,257,39
229,Pottery Class,Weekly pottery classes for beginners (Join Now),"art,crafts",244,2025-05-12,6.8,26,223,46
230,Cooking Workshop,Hands-on cooking workshops for healthy meals (Beginner Friendly),"food,education",239,2025-05-28,7.3,47,138,5
231,Cycling Group,Weekend cycling tours around the city (Weekly Session),"sports,outdoors",245,2025-04-04,5.5,78,421,33
232,Cooking Workshop,Hands-on cooking workshops for healthy meals (Join Now),"food,education",228,2025-04-14,3.8,73,412,50
233,Cycling Group,Weekend cycling tours around the city (Weekly Session),"sports,outdoors",244,2025-06-21,0.6,68,244,2
234,Tech Talk,Presentations on emerging technologies (Join Now),"technology,education",248,2025-01-23,6.5,15,254,15
235,Pet Meetup,Meet and share fun activities for your pets (Join Now),"pets,community",213,2025-05-30,7.1,71,364,1
236,Gardening Workshop,Learn to plant seasonal vegetables & flowers (Limited Slots),"gardening,workshop",224,2025-02-21,5.2,82,72,26
237,Gardening Workshop,Learn to plant seasonal vegetables & flowers (Beginner Friendly),"gardening,workshop",224,2025-03-04,4.0,95,311,36
238,Cooking Workshop,Hands-on cooking workshops for healthy meals (Weekly Session),"food,education",209,2025-06-13,4.0,66,434,20
239,Cooking Workshop,Hands-on cooking workshops for healthy meals (Join Now),"food,education",201,2025-06-28,3.8,33,332,1
240,Block Movie Night,Outdoor movie screening every Friday evening (Join Now),"movies,entertainment",220,2025-05-21,9.2,73,129,23
241,Pet Meetup,Meet and share fun activities for your pets (Beginner Friendly),"pets,community",245,2025-01-06,3.5,65,493,22
242,Yoga Class,Morning yoga session for fitness and relaxation (Limited Slots),"fitness,wellness",227,2025-01-18,1.6,33,72,29
243,Tech Talk,Presentations on emerging technologies (Beginner Friendly),"technology,education",201,2025-03-04,1.2,88,187,44
244,Pet Meetup,Meet and share fun activities for your pets (Limited Slots),"pets,community",246,2025-07-17,1.0,99,432,13
245,Book Club,Monthly book discussions on contemporary literature (Weekly Session),"books,community",238,2025-04-05,9.9,51,224,31
246,Gardening Workshop,Learn to plant seasonal vegetables & flowers (Weekly Session),"gardening,workshop",219,2025-07-05,1.5,24,386,30
247,Cooking Workshop,Hands-on cooking workshops for healthy meals (Limited Slots),"food,education",243,2025-01-24,8.7,70,437,40
248,Cycling Group,Weekend cycling tours around the city (Beginner Friendly),"sports,outdoors",239,2025-04-28,0.4,36,477,27
249,Block Movie Night,Outdoor movie screening every Friday evening (Limited Slots),"movies,entertainment",220,2025-07-06,1.8,81,161,42
250,Cycling Group,Weekend cycling tours around the city (Join Now),"sports,outdoors",235,2025-06-29,5.1,28,465,20
251,Tech Talk,Presentations on emerging technologies (Join Now),"technology,education",228,2025-05-03,6.6,24,330,30
252,Gardening Workshop,Learn to plant seasonal vegetables & flowers (Weekly Session),"gardening,workshop",233,2025-01-11,9.1,5,489,44
253,Cycling Group,Weekend cycling tours around the city (Beginner Friendly),"sports,outdoors",203,2025-06-08,1.8,71,470,5
254,Gardening Workshop,Learn to plant seasonal vegetables & flowers (Weekly Session),"gardening,workshop",243,2025-05-13,5.6,57,104,28
255,Pet Meetup,Meet and share fun activities for your pets (Weekly Session),"pets,community",215,2025-05-13,4.3,72,273,4
256,Food Festival,Block B food festival featuring local cuisine (Beginner Friendly),"food,event",202,2025-04-12,0.9,4,229,50
257,Pet Meetup,Meet and share fun activities for your pets (Join Now),"pets,community",240,2025-07-22,9.7,46,58,35
258,Tech Talk,Presentations on emerging technologies (Beginner Friendly),"technology,education",238,2025-04-29,4.8,87,276,21
259,Block Movie Night,Outdoor movie screening every Friday evening (Beginner Friendly),"movies,entertainment",243,2025-02-22,6.9,54,233,26
260,Yoga Class,Morning yoga session for fitness and relaxation (Beginner Friendly),"fitness,wellness",206,2025-03-19,3.6,38,392,29
261,Book Club,Monthly book discussions on contemporary literature (Beginner Friendly),"books,community",215,2025-04-24,5.3,29,337,15
262,Gardening Workshop,Learn to plant seasonal vegetables & flowers (Beginner Friendly),"gardening,workshop",209,2025-07-05,5.3,3,255,18
263,Food Festival,Block B food festival featuring local cuisine (Limited Slots),"food,event",245,2025-06-08,0.2,59,456,22
264,Cooking Workshop,Hands-on cooking workshops for healthy meals (Weekly Session),"food,education",238,2025-06-07,2.4,31,361,1
265,Block Movie Night,Outdoor movie screening every Friday evening (Beginner Friendly),"movies,entertainment",203,2025-02-23,9.6,71,458,9
266,Gardening Workshop,Learn to plant seasonal vegetables & flowers (Weekly Session),"gardening,workshop",217,2025-07-14,4.9,53,408,30
267,Pottery Class,Weekly pottery classes for beginners (Join Now),"art,crafts",216,2025-08-16,3.9,50,428,13
268,Block Movie Night,Outdoor movie screening every Friday evening (Beginner Friendly),"movies,entertainment",239,2025-04-17,1.8,9,418,49
269,Cooking Workshop,Hands-on cooking workshops for healthy meals (Beginner Friendly),"food,education",247,2025-07-18,6.3,90,44,29
270,Cooking Workshop,Hands-on cooking workshops for healthy meals (Join Now),"food,education",215,2025-04-09,9.9,62,363,19
271,Food Festival,Block B food festival featuring local cuisine (Beginner Friendly),"food,event",227,2025-03-29,8.5,90,106,15
272,Cooking Workshop,Hands-on cooking workshops for healthy meals (Limited Slots),"food,education",234,2025-05-26,9.3,18,477,19
273,Cycling Group,Weekend cycling tours around the city (Join Now),"sports,outdoors",215,2025-06-05,2.4,87,70,42
274,Block Movie Night,Outdoor movie screening every Friday evening (Weekly Session),"movies,entertainment",220,2025-08-14,5.0,50,500,24
275,Block Movie Night,Outdoor movie screening every Friday evening (Beginner Friendly),"movies,entertainment",237,2025-06-18,2.0,73,23,25
276,Gardening Workshop,Learn to plant seasonal vegetables & flowers (Limited Slots),"gardening,workshop",228,2025-06-13,2.2,40,240,44
277,Food Festival,Block B food festival featuring local cuisine (Limited Slots),"food,event",247,2025-03-16,4.0,79,216,39
278,Food Festival,Block B food festival featuring local cuisine (Weekly Session),"food,event",232,2025-06-28,0.5,83,34,39
279,Cycling Group,Weekend cycling tours around the city (Weekly Session),"sports,outdoors",239,2025-04-09,5.9,21,16,3
280,Pottery Class,Weekly pottery classes for beginners (Join Now),"art,crafts",202,2025-03-20,3.1,90,453,20
281,Block Movie Night,Outdoor movie screening every Friday evening (Join Now),"movies,entertainment",243,2025-06-23,5.1,5,154,36
282,Cooking Workshop,Hands-on cooking workshops for healthy meals (Beginner Friendly),"food,education",211,2025-07-19,1.8,45,458,47
283,Pottery Class,Weekly pottery classes for beginners (Join Now),"art,crafts",228,2025-03-31,7.0,8,319,32
284,Pet Meetup,Meet and share fun activities for your pets (Weekly Session),"pets,community",202,2025-03-30,3.5,81,71,26
285,Food Festival,Block B food festival featuring local cuisine (Beginner Friendly),"food,event",204,2025-02-05,1.3,12,107,21
286,Book Club,Monthly book discussions on contemporary literature (Beginner Friendly),"books,community",204,2025-06-13,2.1,43,493,29
287,Yoga Class,Morning yoga session for fitness and relaxation (Beginner Friendly),"fitness,wellness",243,2025-04-04,0.0,84,383,15
288,Gardening Workshop,Learn to plant seasonal vegetables & flowers (Beginner Friendly),"gardening,workshop",205,2025-06-14,0.3,47,239,35
289,Cycling Group,Weekend cycling tours around the city (Limited Slots),"sports,outdoors",210,2025-07-06,4.4,64,1,8
290,Block Movie Night,Outdoor movie screening every Friday evening (Beginner Friendly),"movies,entertainment",220,2025-07-15,5.6,15,272,44
291,Gardening Workshop,Learn to plant seasonal vegetables & flowers (Limited Slots),"gardening,workshop",205,2025-03-21,4.6,17,401,43
292,Gardening Workshop,Learn to plant seasonal vegetables & flowers (Limited Slots),"gardening,workshop",228,2025-03-13,7.5,2,223,22
293,Food Festival,Block B food festival featuring local cuisine (Weekly Session),"food,event",225,2025-01-07,1.9,13,276,48
294,Block Movie Night,Outdoor movie screening every Friday evening (Limited Slots),"movies,entertainment",222,2025-08-10,6.6,71,223,6
295,Cycling Group,Weekend cycling tours around the city (Limited Slots),"sports,outdoors",225,2025-04-22,6.2,89,307,45
296,Gardening Workshop,Learn to plant seasonal vegetables & flowers (Limited Slots),"gardening,workshop",243,2025-03-18,1.0,78,467,39
297,Gardening Workshop,Learn to plant seasonal vegetables & flowers (Weekly Session),"gardening,workshop",230,2025-02-17,6.3,22,364,19
298,Block Movie Night,Outdoor movie screening every Friday evening (Beginner Friendly),"movies,entertainment",249,2025-01-04,4.3,68,475,48
299,Pet Meetup,Meet and share fun activities for your pets (Beginner Friendly),"pets,community",235,2025-01-10,8.1,33,477,32
300,Cooking Workshop,Hands-on cooking workshops for healthy meals (Beginner Friendly),"food,education",214,2025-05-22,5.2,89,456,25
301,Food Festival,Block B food festival featuring local cuisine (Limited Slots),"food,event",201,2025-02-09,6.6,14,48,27
302,Gardening Workshop,Learn to plant seasonal vegetables & flowers (Join Now),"gardening,workshop",211,2025-04-28,6.2,44,389,14
303,Food Festival,Block B food festival featuring local cuisine (Beginner Friendly),"food,event",236,2025-06-15,6.5,39,258,34
304,Pet Meetup,Meet and share fun activities for your pets (Join Now),"pets,community",202,2025-01-13,5.0,42,188,8
305,Gardening Workshop,Learn to plant seasonal vegetables & flowers (Beginner Friendly),"gardening,workshop",204,2025-03-24,4.0,24,222,27
306,Food Festival,Block B food festival featuring local cuisine (Weekly Session),"food,event",243,2025-07-17,7.3,83,96,12
307,Pottery Class,Weekly pottery classes for beginners (Join Now),"art,crafts",230,2025-06-03,2.8,10,441,21
308,Pottery Class,Weekly pottery classes for beginners (Beginner Friendly),"art,crafts",244,2025-08-04,2.1,48,295,23
309,Book Club,Monthly book discussions on contemporary literature (Join Now),"books,community",231,2025-05-31,8.9,8,168,9
310,Pottery Class,Weekly pottery classes for beginners (Limited Slots),"art,crafts",234,2025-03-13,9.1,19,92,41
311,Cooking Workshop,Hands-on cooking workshops for healthy meals (Beginner Friendly),"food,education",227,2025-01-19,8.8,1,485,8
312,Block Movie Night,Outdoor movie screening every Friday evening (Join Now),"movies,entertainment",210,2025-02-23,4.9,12,21,3
313,Gardening Workshop,Learn to plant seasonal vegetables & flowers (Weekly Session),"gardening,workshop",237,2025-06-28,0.1,35,313,47
314,Food Festival,Block B food festival featuring local cuisine (Weekly Session),"food,event",213,2025-02-26,4.4,81,38,24
315,Block Movie Night,Outdoor movie screening every Friday evening (Weekly Session),"movies,entertainment",228,2025-04-06,8.5,90,235,39
316,Yoga Class,Morning yoga session for fitness and relaxation (Beginner Friendly),"fitness,wellness",205,2025-05-11,4.3,24,152,42
317,Tech Talk,Presentations on emerging technologies (Beginner Friendly),"technology,education",234,2025-01-06,1.6,45,404,12
318,Block Movie Night,Outdoor movie screening every Friday evening (Join Now),"movies,entertainment",205,2025-04-10,3.8,55,139,27
319,Yoga Class,Morning yoga session for fitness and relaxation (Limited Slots),"fitness,wellness",208,2025-05-25,8.2,18,186,21
320,Book Club,Monthly book discussions on contemporary literature (Join Now),"books,community",203,2025-08-06,7.8,68,410,15
321,Food Festival,Block B food festival featuring local cuisine (Limited Slots),"food,event",223,2025-02-08,2.7,99,405,33
322,Cycling Group,Weekend cycling tours around the city (Limited Slots),"sports,outdoors",210,2025-02-06,1.9,26,484,28
323,Pet Meetup,Meet and share fun activities for your pets (Beginner Friendly),"pets,community",249,2025-07-24,3.4,73,8,46
324,Block Movie Night,Outdoor movie screening every Friday evening (Beginner Friendly),"movies,entertainment",207,2025-08-10,1.0,82,47,36
325,Tech Talk,Presentations on emerging technologies (Weekly Session),"technology,education",247,2025-03-13,2.3,64,163,12
326,Pottery Class,Weekly pottery classes for beginners (Beginner Friendly),"art,crafts",244,2025-05-09,4.2,69,242,3
327,Cooking Workshop,Hands-on cooking workshops for healthy meals (Limited Slots),"food,education",206,2025-07-30,1.2,12,272,28
328,Pottery Class,Weekly pottery classes for beginners (Join Now),"art,crafts",232,2025-02-19,6.8,54,8,27
329,Pet Meetup,Meet and share fun activities for your pets (Join Now),"pets,community",246,2025-07-08,6.7,49,23,36
330,Cooking Workshop,Hands-on cooking workshops for healthy meals (Weekly Session),"food,education",226,2025-04-07,6.4,92,379,10
331,Pet Meetup,Meet and share fun activities for your pets (Weekly Session),"pets,community",243,2025-02-07,8.9,68,302,2
332,Gardening Workshop,Learn to plant seasonal vegetables & flowers (Join Now),"gardening,workshop",246,2025-08-09,5.3,61,166,11
333,Pet Meetup,Meet and share fun activities for your pets (Beginner Friendly),"pets,community",231,2025-05-06,4.5,83,322,9
334,Book Club,Monthly book discussions on contemporary literature (Limited Slots),"books,community",238,2025-03-14,8.5,100,43,29
335,Pottery Class,Weekly pottery classes for beginners (Weekly Session),"art,crafts",225,2025-05-30,3.0,51,39,1
336,Pet Meetup,Meet and share fun activities for your pets (Beginner Friendly),"pets,community",201,2025-02-14,5.3,29,158,43
337,Cycling Group,Weekend cycling tours around the city (Beginner Friendly),"sports,outdoors",234,2025-02-28,0.3,23,461,17
338,Book Club,Monthly book discussions on contemporary literature (Weekly Session),"books,community",232,2025-06-30,0.2,53,106,4
339,Cycling Group,Weekend cycling tours around the city (Weekly Session),"sports,outdoors",248,2025-06-05,3.9,85,266,47
